_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
322851,3360695,23000967,1,2023-01-02T18:22:00,"Shetland ST & Winfield ST Pittsburgh, PA 15206",N,Larimer,5,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,1204,9,2,-79.90979158656457,40.464017895358616
323021,3361089,23002629,1,2023-01-05T20:42:00,"2100 Block Arlington AV Pittsburgh, PA 15210",N,South Side Slopes,3,MURDER/NON-NEG/MANSLTR-KNIFE,2501 Criminal Homicide.,1608,3,3,-79.9772868505758,40.417680851103555
323849,3363272,22207999,99,2023-01-01T00:10:00,"S 13th ST & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,NA,9490 Missing Persons (18 and Over),1702,3,3,-79.98533041689156,40.42878292454637
323887,3363422,23003909,1,2023-01-08T06:36:00,"1900 Block Concordia ST Pittsburgh, PA 15210",N,Carrick,3,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,2902,4,3,-79.9865396885719,40.39668368335552
324346,3364675,22199181,26,2023-01-13T08:00:00,Zone 1,Y,,1,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,,,,,
324420,3364820,23011525,1,2023-01-22T18:18:00,"2100 Block Bedford AV Pittsburgh, PA 15219",N,Middle Hill,2,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,501,6,3,-79.98068573985466,40.44705788422061
324611,3365266,22205380,26,2023-01-22T11:00:00,Zone 5,N,,5,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,,,,,
324979,3365978,22207723,99,2023-01-07T08:00:00,Zone 2,Y,,2,NA,9999 Miscellaneous Report (No Crime),,,,,
325056,3366155,23000271,10,2023-01-01T05:12:00,"2100 Block Whited ST Pittsburgh, PA 15210",Y,Brookline,6,TERRORISTIC THREATS,901 Criminal Attempt / 907 Possessing Instruments of Crime. / 2706 Terroristic Threats. / 5503 Disorderly Conduct. / 5506 Loitering and Prowling at Night,3206,4,5,-80.00288399656148,40.39629856891373
325057,3366163,23000279,15,2023-01-01T05:10:00,"Kincaid ST & N Millvale AV Pittsburgh, PA 15224",Y,Garfield,5,WEAPONS-CARRY/POS-OTHER,607.03 Discharging Firearm or Airgun,1017,9,2,-79.9447258293929,40.46753771442447
