,STDINCIDENTLOCATION,count
0,"300 Block North Shore DR Pittsburgh, PA 15212",35
1,"600 Block Smithfield ST Pittsburgh, PA 15222",23
2,"1500 Block E Carson ST Pittsburgh, PA 15203",22
3,"600 Block Liberty AV Pittsburgh, PA 15222",15
4,"1600 Block E Carson ST Pittsburgh, PA 15203",13
5,"Market ST Pittsburgh, PA 15222",12
6,"S 15th ST & E Carson ST Pittsburgh, PA 15203",11
7,"50 Block 11th ST Pittsburgh, PA 15222",11
8,"500 Block CRANE AV PITTSBURGH, PA 15216",10
9,"1700 Block E Carson ST Pittsburgh, PA 15203",10
10,"Market SQ Pittsburgh, PA 15222",9
11,"100 Block Art Rooney AV Pittsburgh, PA 15212",9
12,"900 Block Liberty AV Pittsburgh, PA 15222",8
13,"6200 Block Penn AV Pittsburgh, PA 15206",7
14,"300 Block 5th AV Pittsburgh, PA 15222",7
15,"300 Block Cedar AV Pittsburgh, PA 15212",7
16,"600 Block Commonwealth PL Pittsburgh, PA 15222",6
17,"Smithfield ST & Strawberry WY Pittsburgh, PA 15219",6
18,"500 Block Liberty AV Pittsburgh, PA 15222",6
19,"Strawberry WY & Coffey WY Pittsburgh, PA 15222",6
20,"1400 Block E Carson ST Pittsburgh, PA 15203",6
21,"6500 Block LILAC ST PITTSBURGH, PA 15217",6
22,"6th AV & Smithfield ST Pittsburgh, PA 15222",6
23,"400 Block North Shore DR Pittsburgh, PA 15212",5
24,"2000 Block Wharton ST Pittsburgh, PA 15203",5
25,"S 13th ST & E Carson ST Pittsburgh, PA 15203",5
26,"200 Block 4th AV Pittsburgh, PA 15222",5
27,"1700 Block Belleau DR Pittsburgh, PA 15212",5
28,"6th AV & Coffey WY Pittsburgh, PA 15222",5
29,"100 Block Federal ST Pittsburgh, PA 15212",5
30,"900 Block Penn AV Pittsburgh, PA 15222",5
31,"600 Block Grant ST Pittsburgh, PA 15219",4
32,"3100 Block Liberty AV Pittsburgh, PA 15201",4
33,"400 Block Wood ST Pittsburgh, PA 15222",4
34,"1300 Block E Carson ST Pittsburgh, PA 15203",4
35,"400 Block Semple ST Pittsburgh, PA 15213",4
36,"S 16th ST & E Carson ST Pittsburgh, PA 15203",4
37,"2400 Block Chauncey DR Pittsburgh, PA 15219",4
38,"PPG PL Pittsburgh, PA 15222",4
39,"800 Block Chartiers AV Pittsburgh, PA 15220",4
40,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",4
41,"S 14th ST & E Carson ST Pittsburgh, PA 15203",4
42,"Forbes AV & Market ST Pittsburgh, PA 15222",4
43,"7th ST & Penn AV Pittsburgh, PA 15222",4
44,"700 Block DUNSTER ST PITTSBURGH, PA 15226",4
45,"900 Block Freeport RD Pittsburgh, PA 15238",4
46,"7200 Block Kelly ST Pittsburgh, PA 15208",4
47,"100 Block Parkfield ST Pittsburgh, PA 15210",4
48,"400 Block Smithfield ST Pittsburgh, PA 15222",4
49,"S 17th ST & E Carson ST Pittsburgh, PA 15203",4
50,"Liberty AV & Market ST Pittsburgh, PA 15222",3
51,"8000 Block BENNETT ST PITTSBURGH, PA 15221",3
52,"800 Block Liberty AV Pittsburgh, PA 15222",3
53,"200 Block Reifert ST Pittsburgh, PA 15210",3
54,"4th AV & Wood ST Pittsburgh, PA 15222",3
55,"East Ohio ST & Middle ST Pittsburgh, PA 15212",3
56,"100 Block 7th ST Pittsburgh, PA 15222",3
57,"1000 Block CARNAHAN RD PITTSBURGH, PA 15216",3
58,"200 Block North Shore DR Pittsburgh, PA 15212",3
59,"100 Block 6th ST Pittsburgh, PA 15222",3
60,"500 Block Smithfield ST Pittsburgh, PA 15222",3
61,"700 Block Brookline BL Pittsburgh, PA 15226",3
62,"300 Block 6th AV Pittsburgh, PA 15222",3
63,"600 Block East Ohio ST Pittsburgh, PA 15212",3
64,"500 Block Market ST Pittsburgh, PA 15222",3
65,"600 Block Penn AV Pittsburgh, PA 15222",3
66,"20 Block S 10th ST Pittsburgh, PA 15203",3
67,"3800 Block PERRYSVILLE AV PITTSBURGH, PA 15214",3
68,"100 Block Oakland AV Pittsburgh, PA 15213",3
69,"1400 Block Methyl ST Pittsburgh, PA 15216",3
70,"2300 Block BROWNSVILLE RD PITTSBURGH, PA 15210",3
71,"2500 Block Park Hill DR Pittsburgh, PA 15221",3
72,"5th AV & Market ST Pittsburgh, PA 15222",3
73,"Middle ST & Foreland ST Pittsburgh, PA 15212",3
74,"S 12th ST & E Carson ST Pittsburgh, PA 15203",3
75,"200 Block Forbes AV Pittsburgh, PA 15222",3
76,"7400 Block TIOGA ST PITTSBURGH, PA 15208",3
77,"500 Block Gallion AV Pittsburgh, PA 15226",3
78,"1000 Block 5th AV Pittsburgh, PA 15219",3
79,"3700 Block Forbes AV Pittsburgh, PA 15213",3
80,"200 Block 6th ST Pittsburgh, PA 15222",3
81,"100 Block Forbes AV Pittsburgh, PA 15222",3
82,"100 Block S 18th ST Pittsburgh, PA 15203",3
83,"Strawberry WY & Montour WY Pittsburgh, PA 15219",3
84,"200 Block Shiloh ST Pittsburgh, PA 15211",3
85,"4400 Block Penn AV Pittsburgh, PA 15224",3
86,"100 Block 5th AV Pittsburgh, PA 15222",3
87,"2400 Block Bedford AV Pittsburgh, PA 15219",3
88,"500 Block Marshall AV Pittsburgh, PA 15214",3
89,"2500 Block Chauncey DR Pittsburgh, PA 15219",3
90,"2100 Block Park Hill DR Pittsburgh, PA 15221",3
91,"700 Block 2nd AV Pittsburgh, PA 15219",3
