,id,status
0,DCP-ZDR-2020-00002,Completed
1,DCP-ZDR-2020-00004,Completed
2,DCP-ZDR-2020-00006,Completed
3,DCP-ZDR-2020-00008,Cancelled
4,DCP-ZDR-2020-00011,Completed
5,DCP-ZDR-2020-00023,Completed
6,DCP-ZDR-2020-00031,Cancelled
7,DCP-ZDR-2020-00034,Completed
8,DCP-ZDR-2020-00043,Completed
9,DCP-ZDR-2020-00047,Completed
10,DCP-ZDR-2020-00049,Withdrawn
11,DCP-ZDR-2020-00053,Completed
12,DCP-ZDR-2020-00057,Completed
13,DCP-ZDR-2020-00064,Completed
14,DCP-ZDR-2020-00070,Completed
15,DCP-ZDR-2020-00074,Completed
16,DCP-ZDR-2020-00077,Completed
17,DCP-ZDR-2020-00080,Completed
18,DCP-ZDR-2020-00085,Completed
19,DCP-ZDR-2020-00089,Completed
20,DCP-ZDR-2020-00096,Cancelled
21,DCP-ZDR-2020-00102,Completed
22,DCP-ZDR-2020-00110,Applicant Revisions
23,DCP-ZDR-2020-00113,Completed
24,DCP-ZDR-2020-00117,Completed
25,DCP-ZDR-2020-00128,Completed
26,DCP-ZDR-2020-00136,Completed
27,DCP-ZDR-2020-00145,Cancelled
28,DCP-ZDR-2020-00149,Completed
29,DCP-ZDR-2020-00153,Completed
30,DCP-ZDR-2020-00157,Completed
31,DCP-ZDR-2020-00167,Completed
32,DCP-ZDR-2020-00170,Completed
33,DCP-ZDR-2020-00173,Completed
34,DCP-ZDR-2020-00192,Completed
35,DCP-ZDR-2020-00197,Completed
36,DCP-ZDR-2020-00199,Completed
37,DCP-ZDR-2020-00209,Completed
38,DCP-ZDR-2020-00213,Completed
39,DCP-ZDR-2020-00218,Cancelled
40,DCP-ZDR-2020-00220,Completed
41,DCP-ZDR-2020-00222,Cancelled
42,DCP-ZDR-2020-00225,Applicant Revisions
43,DCP-ZDR-2020-00253,Completed
44,DCP-ZDR-2020-00260,Completed
45,DCP-ZDR-2020-00262,Completed
46,DCP-ZDR-2020-00265,Completed
47,DCP-ZDR-2020-00267,Completed
48,DCP-ZDR-2020-00269,Completed
49,DCP-ZDR-2020-00271,Completed
50,DCP-ZDR-2020-00273,Completed
51,DCP-ZDR-2020-00279,Applicant Revisions
52,DCP-ZDR-2020-00291,Withdrawn
53,DCP-ZDR-2020-00298,Applicant Revisions
54,DCP-ZDR-2020-00311,Applicant Revisions
55,DCP-ZDR-2020-00313,Applicant Revisions
56,DCP-ZDR-2020-00316,Completed
57,DCP-ZDR-2020-00318,Completed
58,DCP-ZDR-2020-00320,Completed
59,DCP-ZDR-2020-00324,Completed
60,DCP-ZDR-2020-00327,Completed
61,DCP-ZDR-2020-00330,Completed
62,DCP-ZDR-2020-00332,Completed
63,DCP-ZDR-2020-00344,Applicant Revisions
64,DCP-ZDR-2020-00347,Completed
65,DCP-ZDR-2020-00354,Completed
66,DCP-ZDR-2020-00362,Completed
67,DCP-ZDR-2020-00365,Completed
68,DCP-ZDR-2020-00368,Completed
69,DCP-ZDR-2020-00371,Completed
70,DCP-ZDR-2020-00373,Completed
71,DCP-ZDR-2020-00376,Completed
72,DCP-ZDR-2020-00380,Completed
73,DCP-ZDR-2020-00386,Completed
74,DCP-ZDR-2020-00403,Completed
75,DCP-ZDR-2020-00406,Cancelled
76,DCP-ZDR-2020-00410,Applicant Revisions
77,DCP-ZDR-2020-00422,Applicant Revisions
78,DCP-ZDR-2020-00424,Completed
79,DCP-ZDR-2020-00427,Completed
80,DCP-ZDR-2020-00429,Completed
81,DCP-ZDR-2020-00431,Completed
82,DCP-ZDR-2020-00450,Submitted
83,DCP-ZDR-2020-00453,Completed
84,DCP-ZDR-2020-00457,Completed
85,DCP-ZDR-2020-00468,Completed
86,DCP-ZDR-2020-00470,Completed
87,DCP-ZDR-2020-00503,Completed
88,DCP-ZDR-2020-00510,Completed
89,DCP-ZDR-2020-00515,Completed
90,DCP-ZDR-2020-00519,Completed
91,DCP-ZDR-2020-00521,Completed
92,DCP-ZDR-2020-00523,Completed
93,DCP-ZDR-2020-00527,Completed
94,DCP-ZDR-2020-00537,Completed
95,DCP-ZDR-2020-00541,Completed
96,DCP-ZDR-2020-00556,Completed
97,DCP-ZDR-2020-00574,Cancelled
98,DCP-ZDR-2020-00581,Application Incomplete
99,DCP-ZDR-2020-00586,Completed
100,DCP-ZDR-2020-00601,Applicant Revisions
101,DCP-ZDR-2020-00611,Completed
102,DCP-ZDR-2020-00615,Completed
103,DCP-ZDR-2020-00620,Completed
104,DCP-ZDR-2020-00623,Completed
105,DCP-ZDR-2020-00627,Cancelled
106,DCP-ZDR-2020-00632,Completed
107,DCP-ZDR-2020-00634,Completed
108,DCP-ZDR-2020-00639,Completed
109,DCP-ZDR-2020-00641,Completed
110,DCP-ZDR-2020-00643,Completed
111,DCP-ZDR-2020-00647,Completed
112,DCP-ZDR-2020-00649,Completed
113,DCP-ZDR-2020-00654,Completed
114,DCP-ZDR-2020-00656,Completed
115,DCP-ZDR-2020-00663,Completed
116,DCP-ZDR-2020-00669,Completed
117,DCP-ZDR-2020-00673,Completed
118,DCP-ZDR-2020-00676,Completed
119,DCP-ZDR-2020-00678,Completed
120,DCP-ZDR-2020-00680,Completed
121,DCP-ZDR-2020-00683,Completed
122,DCP-ZDR-2020-00686,Completed
123,DCP-ZDR-2020-00699,Cancelled
124,DCP-ZDR-2020-00707,Completed
125,DCP-ZDR-2020-00738,Completed
126,DCP-ZDR-2020-00755,Cancelled
127,DCP-ZDR-2020-00758,Completed
128,DCP-ZDR-2020-00777,Completed
129,DCP-ZDR-2020-00782,Applicant Revisions
130,DCP-ZDR-2020-00809,Completed
131,DCP-ZDR-2020-00812,Cancelled
132,DCP-ZDR-2020-00815,Completed
133,DCP-ZDR-2020-00817,Cancelled
134,DCP-ZDR-2020-00819,Cancelled
135,DCP-ZDR-2020-00821,Completed
136,DCP-ZDR-2020-00827,Applicant Revisions
137,DCP-ZDR-2020-00830,Completed
138,DCP-ZDR-2020-00835,Completed
139,DCP-ZDR-2020-00843,Completed
140,DCP-ZDR-2020-00845,Cancelled
141,DCP-ZDR-2020-00850,Completed
142,DCP-ZDR-2020-00853,Completed
143,DCP-ZDR-2020-00856,Applicant Revisions
144,DCP-ZDR-2020-00860,Completed
145,DCP-ZDR-2020-00863,Completed
146,DCP-ZDR-2020-00867,Applicant Revisions
147,DCP-ZDR-2020-00878,Completed
148,DCP-ZDR-2020-00880,Completed
149,DCP-ZDR-2020-00887,Completed
150,DCP-ZDR-2020-00891,Completed
151,DCP-ZDR-2020-00894,Completed
152,DCP-ZDR-2020-00905,Completed
153,DCP-ZDR-2020-00908,Completed
154,DCP-ZDR-2020-00910,Withdrawn
155,DCP-ZDR-2020-00927,Completed
156,DCP-ZDR-2020-00929,Completed
157,DCP-ZDR-2020-00937,Completed
158,DCP-ZDR-2020-00953,Applicant Revisions
159,DCP-ZDR-2020-00958,Completed
160,DCP-ZDR-2020-00962,Completed
161,DCP-ZDR-2020-00964,Completed
162,DCP-ZDR-2020-00966,Cancelled
163,DCP-ZDR-2020-00968,Completed
164,DCP-ZDR-2020-00970,Completed
165,DCP-ZDR-2020-00975,Completed
166,DCP-ZDR-2020-00977,Cancelled
167,DCP-ZDR-2020-00979,Completed
168,DCP-ZDR-2020-00982,Completed
169,DCP-ZDR-2020-00984,Completed
170,DCP-ZDR-2020-01017,Cancelled
171,DCP-ZDR-2020-01026,Completed
172,DCP-ZDR-2020-01028,Completed
173,DCP-ZDR-2020-01030,Completed
174,DCP-ZDR-2020-01036,Applicant Revisions
175,DCP-ZDR-2020-01044,Completed
176,DCP-ZDR-2020-01049,Completed
177,DCP-ZDR-2020-01056,Application Incomplete
178,DCP-ZDR-2020-01059,Completed
179,DCP-ZDR-2020-01061,Completed
180,DCP-ZDR-2020-01063,Completed
181,DCP-ZDR-2020-01078,Cancelled
182,DCP-ZDR-2020-01092,Withdrawn
183,DCP-ZDR-2020-01097,Completed
184,DCP-ZDR-2020-01104,Completed
185,DCP-ZDR-2020-01106,Completed
186,DCP-ZDR-2020-01114,Completed
187,DCP-ZDR-2020-01120,Cancelled
188,DCP-ZDR-2020-01133,Completed
189,DCP-ZDR-2020-01138,Completed
190,DCP-ZDR-2020-01146,Completed
191,DCP-ZDR-2020-01149,Completed
192,DCP-ZDR-2020-01157,Completed
193,DCP-ZDR-2020-01161,Completed
194,DCP-ZDR-2020-01165,Completed
195,DCP-ZDR-2020-01169,Completed
196,DCP-ZDR-2020-01174,Completed
197,DCP-ZDR-2020-01185,Completed
198,DCP-ZDR-2020-01197,Completed
199,DCP-ZDR-2020-01203,Completed
200,DCP-ZDR-2020-01211,Application Finalization
201,DCP-ZDR-2020-01216,Completed
202,DCP-ZDR-2020-01228,Completed
203,DCP-ZDR-2020-01234,Completed
204,DCP-ZDR-2020-01245,Completed
205,DCP-ZDR-2020-01254,Completed
206,DCP-ZDR-2020-01266,Applicant Revisions
207,DCP-ZDR-2020-01274,Completed
208,DCP-ZDR-2020-01287,Applicant Revisions
209,DCP-ZDR-2020-01293,Completed
210,DCP-ZDR-2020-01295,Cancelled
211,DCP-ZDR-2020-01308,Completed
212,DCP-ZDR-2020-01312,Completed
213,DCP-ZDR-2020-01315,Completed
214,DCP-ZDR-2020-01321,Completed
215,DCP-ZDR-2020-01324,Cancelled
216,DCP-ZDR-2020-01333,Completed
217,DCP-ZDR-2020-01335,Cancelled
218,DCP-ZDR-2020-01337,Completed
219,DCP-ZDR-2020-01341,Cancelled
220,DCP-ZDR-2020-01343,Cancelled
221,DCP-ZDR-2020-01358,Completed
222,DCP-ZDR-2020-01361,Completed
223,DCP-ZDR-2020-01364,Completed
224,DCP-ZDR-2020-01369,Completed
225,DCP-ZDR-2020-01371,Completed
226,DCP-ZDR-2020-01374,Completed
227,DCP-ZDR-2020-01384,Completed
228,DCP-ZDR-2020-01389,Completed
229,DCP-ZDR-2020-01395,Applicant Revisions
230,DCP-ZDR-2020-01397,Completed
231,DCP-ZDR-2020-01403,Completed
232,DCP-ZDR-2020-01410,Completed
233,DCP-ZDR-2020-01419,Applicant Revisions
234,DCP-ZDR-2020-01424,Completed
235,DCP-ZDR-2020-01430,Completed
236,DCP-ZDR-2020-01441,Application Finalization
237,DCP-ZDR-2020-01446,Cancelled
238,DCP-ZDR-2020-01449,Completed
